j,nj
724,6.09E-02
725,6.09E-02
726,6.07E-02
727,6.07E-02
728,6.06E-02
729,6.06E-02
730,6.05E-02
731,6.05E-02
732,6.05E-02
733,6.04E-02
734,6.04E-02
735,6.04E-02
736,6.04E-02
737,6.04E-02
738,6.03E-02
739,6.03E-02
740,6.03E-02
741,6.02E-02
742,6.02E-02
743,6.02E-02
744,6.01E-02
745,6.01E-02
746,6.00E-02
747,5.99E-02
748,5.99E-02
749,5.98E-02
750,5.98E-02
751,5.98E-02
752,5.97E-02
753,5.96E-02
754,5.96E-02
755,5.96E-02
756,5.95E-02
757,5.94E-02
758,5.93E-02
759,5.93E-02
760,5.91E-02
761,5.90E-02
762,5.89E-02
763,5.86E-02
764,5.85E-02
765,5.84E-02
766,5.83E-02
767,5.81E-02
768,5.80E-02
769,5.78E-02
770,5.78E-02
771,5.77E-02
772,5.74E-02
773,5.71E-02
774,5.69E-02
775,5.66E-02
776,5.64E-02
777,5.64E-02
778,5.61E-02
779,5.60E-02
780,5.60E-02
781,5.58E-02
782,5.57E-02
783,5.57E-02
784,5.56E-02
785,5.55E-02
786,5.55E-02
787,5.55E-02
788,5.54E-02
789,5.53E-02
790,5.53E-02
791,5.53E-02
792,5.52E-02
793,5.52E-02
794,5.51E-02
795,5.51E-02
796,5.50E-02
797,5.48E-02
798,5.48E-02
799,5.48E-02
800,5.48E-02
801,5.47E-02
802,5.46E-02
803,5.44E-02
804,5.44E-02
805,5.42E-02
806,5.42E-02
807,5.41E-02
808,5.41E-02
809,5.38E-02
810,5.38E-02
811,5.37E-02
812,5.36E-02
813,5.35E-02
814,5.35E-02
815,5.35E-02
816,5.34E-02
817,5.33E-02
818,5.33E-02
819,5.32E-02
820,5.31E-02
821,5.31E-02
822,5.31E-02
823,5.31E-02
824,5.30E-02
825,5.30E-02
826,5.29E-02
827,5.29E-02
828,5.28E-02
829,5.28E-02
830,5.28E-02
831,5.27E-02
832,5.27E-02
833,5.27E-02
834,5.26E-02
835,5.26E-02
836,5.25E-02
837,5.25E-02
838,5.24E-02
839,5.24E-02
840,5.22E-02
841,5.21E-02
842,5.21E-02
843,5.20E-02
844,5.18E-02
845,5.18E-02
846,5.16E-02
847,5.16E-02
848,5.14E-02
849,5.12E-02
850,5.10E-02
851,5.09E-02
852,5.09E-02
853,5.08E-02
854,5.06E-02
855,5.05E-02
856,5.05E-02
857,5.04E-02
858,5.04E-02
859,5.04E-02
860,5.03E-02
861,5.03E-02
862,5.02E-02
863,5.01E-02
864,5.01E-02
865,5.01E-02
866,4.96E-02
867,4.95E-02
868,4.94E-02
869,4.92E-02
870,4.90E-02
871,4.88E-02
872,4.88E-02
873,4.87E-02
874,4.86E-02
875,4.86E-02
876,4.85E-02
877,4.84E-02
878,4.83E-02
879,4.83E-02
880,4.82E-02
881,4.79E-02
882,4.78E-02
883,4.78E-02
884,4.78E-02
885,4.76E-02
886,4.76E-02
887,4.75E-02
888,4.74E-02
889,4.67E-02
890,4.66E-02
891,4.66E-02
892,4.65E-02
893,4.61E-02
894,4.60E-02
895,4.54E-02
896,4.54E-02
897,4.53E-02
898,4.49E-02
